"","Unnamed..0","agent","group","fit_AS","fit_DB","fit_VS","fit_SG","r2_AS","r2_DB","r2_VS","r2_SG","id","model","lambda","beta","tau","par"
"9",240,1,6,351.274062354579,337.253456594192,393.99766311921,367.696932758629,0.307932439425743,0.334637777068208,0.225226711171207,0.273501565122695,8,"DB",0.447710818396484,0.49914651646484,0.006797670028891,0.0714285714285714
"10",4080,2,6,369.459517239731,367.595652797652,408.357444873737,381.401796510798,0.299245478716603,0.302929569935355,0.225607433147434,0.276459488782299,9,"DB",0.887713855545614,0.326591259548009,0.031404057055679,0.0714285714285714
"11",7920,3,6,290.332303729202,291.06923180629,290.349701197183,294.09469116878,0.459473326196875,0.458101349061628,0.459440936430462,0.452468694806735,10,"AS",1.39688669124628,0.239452201851191,0.0301631584810904,NA
"12",11760,4,6,311.127056549087,313.662026019914,324.712190279248,308.276103537549,0.420758658797088,0.416039174955094,0.395466512335894,0.426066425548158,11,"SG",0.847538188469188,0.409314161023433,0.0228022291887737,26.6232207786443
"33",960,1,16,418.44367781505,542.850853369066,420.476799298275,421.787301459541,0.198539063276555,-0.0331142263268596,0.194403921133829,0.191995938565631,32,"AS",2.05055261092258,0.00673794699908547,0.0773639389693359,NA
"34",4800,2,16,278.319729940333,281.312777945525,327.049123943152,274.836057582675,0.477210241690064,0.471584878054612,0.3864048377264,0.483746759132609,33,"SG",0.809955756446636,0.431222691439792,0.0225103000237039,26.664258808766
"35",8640,3,16,308.497206726594,310.375671659822,311.859493688179,309.892192292167,0.425654786299592,0.422157550927669,0.419395042673501,0.423057669485247,34,"AS",1.64827753549681,0.13181212073498,0.0447969577867118,NA
"36",12480,4,16,460.316944693128,444.101826080609,417.73719954102,425.836956759618,0.143004123846081,0.173192649257719,0.222277038788129,0.207197301632647,35,"VS",1.79175877468824,0.00673794699908547,0.0990828536824561,0.0714285714285714
"53",1560,1,24,395.736219561973,388.053219514327,440.130323629246,393.377593987169,0.263237401709284,0.277541240473491,0.180586600886464,0.267628576994709,52,"DB",0.711650110960308,0.428418015247062,0.0218679778557701,0.0714285714285714
"54",5400,2,24,360.567595382362,360.606369366463,412.726757972212,343.940264641877,0.328712649230374,0.328640461697717,0.231605237134252,0.359668611291563,53,"SG",0.782393195605863,0.437523355660631,0.0300567430792946,4.73945579987965
"55",9240,3,24,221.194231740098,222.83932913289,223.742706348943,217.776746466193,0.58819125253651,0.585128489590786,0.583446625480211,0.594553761717017,54,"SG",2.16415092607355,0.0487323716866544,0.0266197461568581,5.44929187768767
"56",13080,4,24,469.396456441732,490.322555471315,453.954344551609,455.654519661273,0.126100326982309,0.0871411255470979,0.154849705777751,0.151684401796398,55,"VS",11.7710601105969,0.00673794699908547,0.17879975179203,0.0714285714285714
